en,fr,it,de,es,ko,kana
[~0],[~0],[~0],[~0],[~0],[~0],[~0]
"By spreading the broad petals of its flower and catching the sun’s rays, it fills its body with power.","By spreading the broad petals of its flower and catching the sun’s rays, it fills its body with power.","By spreading the broad petals of its flower and catching the sun’s rays, it fills its body with power.","By spreading the broad petals of its flower and catching the sun’s rays, it fills its body with power.","By spreading the broad petals of its flower and catching the sun’s rays, it fills its body with power.","By spreading the broad petals of its flower and catching the sun’s rays, it fills its body with power.","By spreading the broad petals of its flower and catching the sun’s rays, it fills its body with power."
"If CHARIZARD becomes furious, the flame at the tip of its tail flares up in a light blue shade.","If CHARIZARD becomes furious, the flame at the tip of its tail flares up in a light blue shade.","If CHARIZARD becomes furious, the flame at the tip of its tail flares up in a light blue shade.","If CHARIZARD becomes furious, the flame at the tip of its tail flares up in a light blue shade.","If CHARIZARD becomes furious, the flame at the tip of its tail flares up in a light blue shade.","If CHARIZARD becomes furious, the flame at the tip of its tail flares up in a light blue shade.","If CHARIZARD becomes furious, the flame at the tip of its tail flares up in a light blue shade."
"If CHARIZARD becomes furious, the flame at the tip of its tail flares up in a light blue shade.","If CHARIZARD becomes furious, the flame at the tip of its tail flares up in a light blue shade.","If CHARIZARD becomes furious, the flame at the tip of its tail flares up in a light blue shade.","If CHARIZARD becomes furious, the flame at the tip of its tail flares up in a light blue shade.","If CHARIZARD becomes furious, the flame at the tip of its tail flares up in a light blue shade.","If CHARIZARD becomes furious, the flame at the tip of its tail flares up in a light blue shade.","If CHARIZARD becomes furious, the flame at the tip of its tail flares up in a light blue shade."
"It deliberately makes itself heavy so it can withstand the recoil of the water jets it fires.","It deliberately makes itself heavy so it can withstand the recoil of the water jets it fires.","It deliberately makes itself heavy so it can withstand the recoil of the water jets it fires.","It deliberately makes itself heavy so it can withstand the recoil of the water jets it fires.","It deliberately makes itself heavy so it can withstand the recoil of the water jets it fires.","It deliberately makes itself heavy so it can withstand the recoil of the water jets it fires.","It deliberately makes itself heavy so it can withstand the recoil of the water jets it fires."
"This intelligent Pokémon roasts hard berries with electricity to make them tender enough to eat.","This intelligent Pokémon roasts hard berries with electricity to make them tender enough to eat.","This intelligent Pokémon roasts hard berries with electricity to make them tender enough to eat.","This intelligent Pokémon roasts hard berries with electricity to make them tender enough to eat.","This intelligent Pokémon roasts hard berries with electricity to make them tender enough to eat.","This intelligent Pokémon roasts hard berries with electricity to make them tender enough to eat.","This intelligent Pokémon roasts hard berries with electricity to make them tender enough to eat."
"This intelligent Pokémon roasts hard berries with electricity to make them tender enough to eat.","This intelligent Pokémon roasts hard berries with electricity to make them tender enough to eat.","This intelligent Pokémon roasts hard berries with electricity to make them tender enough to eat.","This intelligent Pokémon roasts hard berries with electricity to make them tender enough to eat.","This intelligent Pokémon roasts hard berries with electricity to make them tender enough to eat.","This intelligent Pokémon roasts hard berries with electricity to make them tender enough to eat.","This intelligent Pokémon roasts hard berries with electricity to make them tender enough to eat."
"This intelligent Pokémon roasts hard berries with electricity to make them tender enough to eat.","This intelligent Pokémon roasts hard berries with electricity to make them tender enough to eat.","This intelligent Pokémon roasts hard berries with electricity to make them tender enough to eat.","This intelligent Pokémon roasts hard berries with electricity to make them tender enough to eat.","This intelligent Pokémon roasts hard berries with electricity to make them tender enough to eat.","This intelligent Pokémon roasts hard berries with electricity to make them tender enough to eat.","This intelligent Pokémon roasts hard berries with electricity to make them tender enough to eat."
"This intelligent Pokémon roasts hard berries with electricity to make them tender enough to eat.","This intelligent Pokémon roasts hard berries with electricity to make them tender enough to eat.","This intelligent Pokémon roasts hard berries with electricity to make them tender enough to eat.","This intelligent Pokémon roasts hard berries with electricity to make them tender enough to eat.","This intelligent Pokémon roasts hard berries with electricity to make them tender enough to eat.","This intelligent Pokémon roasts hard berries with electricity to make them tender enough to eat.","This intelligent Pokémon roasts hard berries with electricity to make them tender enough to eat."
"This intelligent Pokémon roasts hard berries with electricity to make them tender enough to eat.","This intelligent Pokémon roasts hard berries with electricity to make them tender enough to eat.","This intelligent Pokémon roasts hard berries with electricity to make them tender enough to eat.","This intelligent Pokémon roasts hard berries with electricity to make them tender enough to eat.","This intelligent Pokémon roasts hard berries with electricity to make them tender enough to eat.","This intelligent Pokémon roasts hard berries with electricity to make them tender enough to eat.","This intelligent Pokémon roasts hard berries with electricity to make them tender enough to eat."
"This intelligent Pokémon roasts hard berries with electricity to make them tender enough to eat.","This intelligent Pokémon roasts hard berries with electricity to make them tender enough to eat.","This intelligent Pokémon roasts hard berries with electricity to make them tender enough to eat.","This intelligent Pokémon roasts hard berries with electricity to make them tender enough to eat.","This intelligent Pokémon roasts hard berries with electricity to make them tender enough to eat.","This intelligent Pokémon roasts hard berries with electricity to make them tender enough to eat.","This intelligent Pokémon roasts hard berries with electricity to make them tender enough to eat."
"This intelligent Pokémon roasts hard berries with electricity to make them tender enough to eat.","This intelligent Pokémon roasts hard berries with electricity to make them tender enough to eat.","This intelligent Pokémon roasts hard berries with electricity to make them tender enough to eat.","This intelligent Pokémon roasts hard berries with electricity to make them tender enough to eat.","This intelligent Pokémon roasts hard berries with electricity to make them tender enough to eat.","This intelligent Pokémon roasts hard berries with electricity to make them tender enough to eat.","This intelligent Pokémon roasts hard berries with electricity to make them tender enough to eat."
"Closing both its eyes heightens all its other senses. This enables it to use its abilities to their extremes.","Closing both its eyes heightens all its other senses. This enables it to use its abilities to their extremes.","Closing both its eyes heightens all its other senses. This enables it to use its abilities to their extremes.","Closing both its eyes heightens all its other senses. This enables it to use its abilities to their extremes.","Closing both its eyes heightens all its other senses. This enables it to use its abilities to their extremes.","Closing both its eyes heightens all its other senses. This enables it to use its abilities to their extremes.","Closing both its eyes heightens all its other senses. This enables it to use its abilities to their extremes."
"It steals heat from its surroundings. If you feel a sudden chill, it is certain that a GENGAR appeared.","It steals heat from its surroundings. If you feel a sudden chill, it is certain that a GENGAR appeared.","It steals heat from its surroundings. If you feel a sudden chill, it is certain that a GENGAR appeared.","It steals heat from its surroundings. If you feel a sudden chill, it is certain that a GENGAR appeared.","It steals heat from its surroundings. If you feel a sudden chill, it is certain that a GENGAR appeared.","It steals heat from its surroundings. If you feel a sudden chill, it is certain that a GENGAR appeared.","It steals heat from its surroundings. If you feel a sudden chill, it is certain that a GENGAR appeared."
"If it is safe, the young gets out of the belly pouch to play. The adult keeps a close eye on the youngster.","If it is safe, the young gets out of the belly pouch to play. The adult keeps a close eye on the youngster.","If it is safe, the young gets out of the belly pouch to play. The adult keeps a close eye on the youngster.","If it is safe, the young gets out of the belly pouch to play. The adult keeps a close eye on the youngster.","If it is safe, the young gets out of the belly pouch to play. The adult keeps a close eye on the youngster.","If it is safe, the young gets out of the belly pouch to play. The adult keeps a close eye on the youngster.","If it is safe, the young gets out of the belly pouch to play. The adult keeps a close eye on the youngster."
"With its pincer horns, it digs burrows to sleep in at night. In the morning, damp soil clings to its body.","With its pincer horns, it digs burrows to sleep in at night. In the morning, damp soil clings to its body.","With its pincer horns, it digs burrows to sleep in at night. In the morning, damp soil clings to its body.","With its pincer horns, it digs burrows to sleep in at night. In the morning, damp soil clings to its body.","With its pincer horns, it digs burrows to sleep in at night. In the morning, damp soil clings to its body.","With its pincer horns, it digs burrows to sleep in at night. In the morning, damp soil clings to its body.","With its pincer horns, it digs burrows to sleep in at night. In the morning, damp soil clings to its body."
"They say that during past strife, GYARADOS would appear and leave blazing ruins in its wake.","They say that during past strife, GYARADOS would appear and leave blazing ruins in its wake.","They say that during past strife, GYARADOS would appear and leave blazing ruins in its wake.","They say that during past strife, GYARADOS would appear and leave blazing ruins in its wake.","They say that during past strife, GYARADOS would appear and leave blazing ruins in its wake.","They say that during past strife, GYARADOS would appear and leave blazing ruins in its wake.","They say that during past strife, GYARADOS would appear and leave blazing ruins in its wake."
"A vicious Pokémon from the distant past, it appears to have flown by spreading its wings and gliding.","A vicious Pokémon from the distant past, it appears to have flown by spreading its wings and gliding.","A vicious Pokémon from the distant past, it appears to have flown by spreading its wings and gliding.","A vicious Pokémon from the distant past, it appears to have flown by spreading its wings and gliding.","A vicious Pokémon from the distant past, it appears to have flown by spreading its wings and gliding.","A vicious Pokémon from the distant past, it appears to have flown by spreading its wings and gliding.","A vicious Pokémon from the distant past, it appears to have flown by spreading its wings and gliding."
"Because its battle abilities were raised to the ultimate level, it thinks only of defeating its foes.","Because its battle abilities were raised to the ultimate level, it thinks only of defeating its foes.","Because its battle abilities were raised to the ultimate level, it thinks only of defeating its foes.","Because its battle abilities were raised to the ultimate level, it thinks only of defeating its foes.","Because its battle abilities were raised to the ultimate level, it thinks only of defeating its foes.","Because its battle abilities were raised to the ultimate level, it thinks only of defeating its foes.","Because its battle abilities were raised to the ultimate level, it thinks only of defeating its foes."
"Because its battle abilities were raised to the ultimate level, it thinks only of defeating its foes.","Because its battle abilities were raised to the ultimate level, it thinks only of defeating its foes.","Because its battle abilities were raised to the ultimate level, it thinks only of defeating its foes.","Because its battle abilities were raised to the ultimate level, it thinks only of defeating its foes.","Because its battle abilities were raised to the ultimate level, it thinks only of defeating its foes.","Because its battle abilities were raised to the ultimate level, it thinks only of defeating its foes.","Because its battle abilities were raised to the ultimate level, it thinks only of defeating its foes."
"The tail’s tip shines brightly and can be seen from far away. It acts as a beacon for lost people.","The tail’s tip shines brightly and can be seen from far away. It acts as a beacon for lost people.","The tail’s tip shines brightly and can be seen from far away. It acts as a beacon for lost people.","The tail’s tip shines brightly and can be seen from far away. It acts as a beacon for lost people.","The tail’s tip shines brightly and can be seen from far away. It acts as a beacon for lost people.","The tail’s tip shines brightly and can be seen from far away. It acts as a beacon for lost people.","The tail’s tip shines brightly and can be seen from far away. It acts as a beacon for lost people."
"Their shapes look like hieroglyphs on ancient tablets. It is said that the two are somehow related.","Their shapes look like hieroglyphs on ancient tablets. It is said that the two are somehow related.","Their shapes look like hieroglyphs on ancient tablets. It is said that the two are somehow related.","Their shapes look like hieroglyphs on ancient tablets. It is said that the two are somehow related.","Their shapes look like hieroglyphs on ancient tablets. It is said that the two are somehow related.","Their shapes look like hieroglyphs on ancient tablets. It is said that the two are somehow related.","Their shapes look like hieroglyphs on ancient tablets. It is said that the two are somehow related."
