en,fr,it,de,es,ko,kana
[~0],[~0],[~0],[~0],[~0],[~0],[~0]
"After a rainy day, the flower on its back smells stronger. The scent attracts other Pokémon.","Le parfum de sa fleur se fait plus pénétrant les lendemains de pluie. Cela appâte les autres Pokémon.","After a rainy day, the flower on its back smells stronger. The scent attracts other Pokémon.","After a rainy day, the flower on its back smells stronger. The scent attracts other Pokémon.","After a rainy day, the flower on its back smells stronger. The scent attracts other Pokémon.","After a rainy day, the flower on its back smells stronger. The scent attracts other Pokémon.","After a rainy day, the flower on its back smells stronger. The scent attracts other Pokémon."
"It is said that Charizard’s fire burns hotter if it has experienced harsh battles.","On raconte que la flamme du Dracaufeu s’intensifie après un combat difficile.","It is said that Charizard’s fire burns hotter if it has experienced harsh battles.","It is said that Charizard’s fire burns hotter if it has experienced harsh battles.","It is said that Charizard’s fire burns hotter if it has experienced harsh battles.","It is said that Charizard’s fire burns hotter if it has experienced harsh battles.","It is said that Charizard’s fire burns hotter if it has experienced harsh battles."
"It is said that Charizard’s fire burns hotter if it has experienced harsh battles.","On raconte que la flamme du Dracaufeu s’intensifie après un combat difficile.","It is said that Charizard’s fire burns hotter if it has experienced harsh battles.","It is said that Charizard’s fire burns hotter if it has experienced harsh battles.","It is said that Charizard’s fire burns hotter if it has experienced harsh battles.","It is said that Charizard’s fire burns hotter if it has experienced harsh battles.","It is said that Charizard’s fire burns hotter if it has experienced harsh battles."
"The jets of water it spouts from the rocket cannons on its shell can punch through thick steel.","Les trombes d’eau projetées par les canons de sa carapace peuvent percer le métal le plus résistant.","The jets of water it spouts from the rocket cannons on its shell can punch through thick steel.","The jets of water it spouts from the rocket cannons on its shell can punch through thick steel.","The jets of water it spouts from the rocket cannons on its shell can punch through thick steel.","The jets of water it spouts from the rocket cannons on its shell can punch through thick steel.","The jets of water it spouts from the rocket cannons on its shell can punch through thick steel."
"It occasionally uses an electric shock to recharge a fellow Pikachu that is in a weakened state.","Il lui arrive de remettre d’aplomb un Pikachu allié en lui envoyant une décharge électrique.","It occasionally uses an electric shock to recharge a fellow Pikachu that is in a weakened state.","It occasionally uses an electric shock to recharge a fellow Pikachu that is in a weakened state.","It occasionally uses an electric shock to recharge a fellow Pikachu that is in a weakened state.","It occasionally uses an electric shock to recharge a fellow Pikachu that is in a weakened state.","It occasionally uses an electric shock to recharge a fellow Pikachu that is in a weakened state."
"It occasionally uses an electric shock to recharge a fellow Pikachu that is in a weakened state.","Il lui arrive de remettre d’aplomb un Pikachu allié en lui envoyant une décharge électrique.","It occasionally uses an electric shock to recharge a fellow Pikachu that is in a weakened state.","It occasionally uses an electric shock to recharge a fellow Pikachu that is in a weakened state.","It occasionally uses an electric shock to recharge a fellow Pikachu that is in a weakened state.","It occasionally uses an electric shock to recharge a fellow Pikachu that is in a weakened state.","It occasionally uses an electric shock to recharge a fellow Pikachu that is in a weakened state."
"It occasionally uses an electric shock to recharge a fellow Pikachu that is in a weakened state.","Il lui arrive de remettre d’aplomb un Pikachu allié en lui envoyant une décharge électrique.","It occasionally uses an electric shock to recharge a fellow Pikachu that is in a weakened state.","It occasionally uses an electric shock to recharge a fellow Pikachu that is in a weakened state.","It occasionally uses an electric shock to recharge a fellow Pikachu that is in a weakened state.","It occasionally uses an electric shock to recharge a fellow Pikachu that is in a weakened state.","It occasionally uses an electric shock to recharge a fellow Pikachu that is in a weakened state."
"It occasionally uses an electric shock to recharge a fellow Pikachu that is in a weakened state.","Il lui arrive de remettre d’aplomb un Pikachu allié en lui envoyant une décharge électrique.","It occasionally uses an electric shock to recharge a fellow Pikachu that is in a weakened state.","It occasionally uses an electric shock to recharge a fellow Pikachu that is in a weakened state.","It occasionally uses an electric shock to recharge a fellow Pikachu that is in a weakened state.","It occasionally uses an electric shock to recharge a fellow Pikachu that is in a weakened state.","It occasionally uses an electric shock to recharge a fellow Pikachu that is in a weakened state."
"It occasionally uses an electric shock to recharge a fellow Pikachu that is in a weakened state.","Il lui arrive de remettre d’aplomb un Pikachu allié en lui envoyant une décharge électrique.","It occasionally uses an electric shock to recharge a fellow Pikachu that is in a weakened state.","It occasionally uses an electric shock to recharge a fellow Pikachu that is in a weakened state.","It occasionally uses an electric shock to recharge a fellow Pikachu that is in a weakened state.","It occasionally uses an electric shock to recharge a fellow Pikachu that is in a weakened state.","It occasionally uses an electric shock to recharge a fellow Pikachu that is in a weakened state."
"It occasionally uses an electric shock to recharge a fellow Pikachu that is in a weakened state.","Il lui arrive de remettre d’aplomb un Pikachu allié en lui envoyant une décharge électrique.","It occasionally uses an electric shock to recharge a fellow Pikachu that is in a weakened state.","It occasionally uses an electric shock to recharge a fellow Pikachu that is in a weakened state.","It occasionally uses an electric shock to recharge a fellow Pikachu that is in a weakened state.","It occasionally uses an electric shock to recharge a fellow Pikachu that is in a weakened state.","It occasionally uses an electric shock to recharge a fellow Pikachu that is in a weakened state."
"It occasionally uses an electric shock to recharge a fellow Pikachu that is in a weakened state.","Il lui arrive de remettre d’aplomb un Pikachu allié en lui envoyant une décharge électrique.","It occasionally uses an electric shock to recharge a fellow Pikachu that is in a weakened state.","It occasionally uses an electric shock to recharge a fellow Pikachu that is in a weakened state.","It occasionally uses an electric shock to recharge a fellow Pikachu that is in a weakened state.","It occasionally uses an electric shock to recharge a fellow Pikachu that is in a weakened state.","It occasionally uses an electric shock to recharge a fellow Pikachu that is in a weakened state."
"The spoons clutched in its hands are said to have been created by its psychic powers.","On dit que les cuillères qu’il tient en permanence ont été créées par la puissance de son esprit.","The spoons clutched in its hands are said to have been created by its psychic powers.","The spoons clutched in its hands are said to have been created by its psychic powers.","The spoons clutched in its hands are said to have been created by its psychic powers.","The spoons clutched in its hands are said to have been created by its psychic powers.","The spoons clutched in its hands are said to have been created by its psychic powers."
"The leer that floats in darkness belongs to a Gengar delighting in casting curses on people.","Si vous croisez un regard inquiétant qui perce la nuit, c’est sûrement un Ectoplasma.","The leer that floats in darkness belongs to a Gengar delighting in casting curses on people.","The leer that floats in darkness belongs to a Gengar delighting in casting curses on people.","The leer that floats in darkness belongs to a Gengar delighting in casting curses on people.","The leer that floats in darkness belongs to a Gengar delighting in casting curses on people.","The leer that floats in darkness belongs to a Gengar delighting in casting curses on people."
"It raises its offspring in its belly pouch. It lets the baby out to play only when it feels safe.","Il élève ses petits dans sa poche ventrale. Il attend d’être en lieu sûr pour les laisser jouer dehors.","It raises its offspring in its belly pouch. It lets the baby out to play only when it feels safe.","It raises its offspring in its belly pouch. It lets the baby out to play only when it feels safe.","It raises its offspring in its belly pouch. It lets the baby out to play only when it feels safe.","It raises its offspring in its belly pouch. It lets the baby out to play only when it feels safe.","It raises its offspring in its belly pouch. It lets the baby out to play only when it feels safe."
"It grips prey with its pincers until the prey is torn in half. What it can’t tear, it tosses far.","Il serre les proies dans ses pinces pour les trancher en deux. S’il n’y arrive pas, il les jette au loin.","It grips prey with its pincers until the prey is torn in half. What it can’t tear, it tosses far.","It grips prey with its pincers until the prey is torn in half. What it can’t tear, it tosses far.","It grips prey with its pincers until the prey is torn in half. What it can’t tear, it tosses far.","It grips prey with its pincers until the prey is torn in half. What it can’t tear, it tosses far.","It grips prey with its pincers until the prey is torn in half. What it can’t tear, it tosses far."
"Once it begins to rampage, a Gyarados will burn everything down, even in a harsh storm.","Quand il se laisse emporter par la rage, il ne se calme qu’après avoir détruit tout ce qui l’entoure.","Once it begins to rampage, a Gyarados will burn everything down, even in a harsh storm.","Once it begins to rampage, a Gyarados will burn everything down, even in a harsh storm.","Once it begins to rampage, a Gyarados will burn everything down, even in a harsh storm.","Once it begins to rampage, a Gyarados will burn everything down, even in a harsh storm.","Once it begins to rampage, a Gyarados will burn everything down, even in a harsh storm."
"A Pokémon that roamed the skies in the dinosaur era. Its teeth are like saw blades.","Un Pokémon qui arpentait le ciel au temps des dinosaures. Ses crocs sont pareils à des scies.","A Pokémon that roamed the skies in the dinosaur era. Its teeth are like saw blades.","A Pokémon that roamed the skies in the dinosaur era. Its teeth are like saw blades.","A Pokémon that roamed the skies in the dinosaur era. Its teeth are like saw blades.","A Pokémon that roamed the skies in the dinosaur era. Its teeth are like saw blades.","A Pokémon that roamed the skies in the dinosaur era. Its teeth are like saw blades."
"A Pokémon created by recombining Mew’s genes. It’s said to have the most savage heart among Pokémon.","Un Pokémon conçu en réorganisant les gènes de Mew. On raconte qu’il s’agit du Pokémon le plus féroce.","A Pokémon created by recombining Mew’s genes. It’s said to have the most savage heart among Pokémon.","A Pokémon created by recombining Mew’s genes. It’s said to have the most savage heart among Pokémon.","A Pokémon created by recombining Mew’s genes. It’s said to have the most savage heart among Pokémon.","A Pokémon created by recombining Mew’s genes. It’s said to have the most savage heart among Pokémon.","A Pokémon created by recombining Mew’s genes. It’s said to have the most savage heart among Pokémon."
"A Pokémon created by recombining Mew’s genes. It’s said to have the most savage heart among Pokémon.","Un Pokémon conçu en réorganisant les gènes de Mew. On raconte qu’il s’agit du Pokémon le plus féroce.","A Pokémon created by recombining Mew’s genes. It’s said to have the most savage heart among Pokémon.","A Pokémon created by recombining Mew’s genes. It’s said to have the most savage heart among Pokémon.","A Pokémon created by recombining Mew’s genes. It’s said to have the most savage heart among Pokémon.","A Pokémon created by recombining Mew’s genes. It’s said to have the most savage heart among Pokémon.","A Pokémon created by recombining Mew’s genes. It’s said to have the most savage heart among Pokémon."
