en,fr,it,de,es,ko,kana
[~0],[~0],[~0],[~0],[~0],[~0],[~0]
"After a rainy day, the flower on its back smells stronger. The scent attracts other Pokémon.","After a rainy day, the flower on its back smells stronger. The scent attracts other Pokémon.","After a rainy day, the flower on its back smells stronger. The scent attracts other Pokémon.","After a rainy day, the flower on its back smells stronger. The scent attracts other Pokémon.","After a rainy day, the flower on its back smells stronger. The scent attracts other Pokémon.","After a rainy day, the flower on its back smells stronger. The scent attracts other Pokémon.","After a rainy day, the flower on its back smells stronger. The scent attracts other Pokémon."
"It is said that CHARIZARD’s fire burns hotter if it has experienced harsh battles.","It is said that CHARIZARD’s fire burns hotter if it has experienced harsh battles.","It is said that CHARIZARD’s fire burns hotter if it has experienced harsh battles.","It is said that CHARIZARD’s fire burns hotter if it has experienced harsh battles.","It is said that CHARIZARD’s fire burns hotter if it has experienced harsh battles.","It is said that CHARIZARD’s fire burns hotter if it has experienced harsh battles.","It is said that CHARIZARD’s fire burns hotter if it has experienced harsh battles."
"It is said that CHARIZARD’s fire burns hotter if it has experienced harsh battles.","It is said that CHARIZARD’s fire burns hotter if it has experienced harsh battles.","It is said that CHARIZARD’s fire burns hotter if it has experienced harsh battles.","It is said that CHARIZARD’s fire burns hotter if it has experienced harsh battles.","It is said that CHARIZARD’s fire burns hotter if it has experienced harsh battles.","It is said that CHARIZARD’s fire burns hotter if it has experienced harsh battles.","It is said that CHARIZARD’s fire burns hotter if it has experienced harsh battles."
"The jets of water it spouts from the rocket cannons on its shell can punch through thick steel.","The jets of water it spouts from the rocket cannons on its shell can punch through thick steel.","The jets of water it spouts from the rocket cannons on its shell can punch through thick steel.","The jets of water it spouts from the rocket cannons on its shell can punch through thick steel.","The jets of water it spouts from the rocket cannons on its shell can punch through thick steel.","The jets of water it spouts from the rocket cannons on its shell can punch through thick steel.","The jets of water it spouts from the rocket cannons on its shell can punch through thick steel."
"It occasionally uses an electric shock to recharge a fellow PIKACHU that is in a weakened state.","It occasionally uses an electric shock to recharge a fellow PIKACHU that is in a weakened state.","It occasionally uses an electric shock to recharge a fellow PIKACHU that is in a weakened state.","It occasionally uses an electric shock to recharge a fellow PIKACHU that is in a weakened state.","It occasionally uses an electric shock to recharge a fellow PIKACHU that is in a weakened state.","It occasionally uses an electric shock to recharge a fellow PIKACHU that is in a weakened state.","It occasionally uses an electric shock to recharge a fellow PIKACHU that is in a weakened state."
"It occasionally uses an electric shock to recharge a fellow PIKACHU that is in a weakened state.","It occasionally uses an electric shock to recharge a fellow PIKACHU that is in a weakened state.","It occasionally uses an electric shock to recharge a fellow PIKACHU that is in a weakened state.","It occasionally uses an electric shock to recharge a fellow PIKACHU that is in a weakened state.","It occasionally uses an electric shock to recharge a fellow PIKACHU that is in a weakened state.","It occasionally uses an electric shock to recharge a fellow PIKACHU that is in a weakened state.","It occasionally uses an electric shock to recharge a fellow PIKACHU that is in a weakened state."
"It occasionally uses an electric shock to recharge a fellow PIKACHU that is in a weakened state.","It occasionally uses an electric shock to recharge a fellow PIKACHU that is in a weakened state.","It occasionally uses an electric shock to recharge a fellow PIKACHU that is in a weakened state.","It occasionally uses an electric shock to recharge a fellow PIKACHU that is in a weakened state.","It occasionally uses an electric shock to recharge a fellow PIKACHU that is in a weakened state.","It occasionally uses an electric shock to recharge a fellow PIKACHU that is in a weakened state.","It occasionally uses an electric shock to recharge a fellow PIKACHU that is in a weakened state."
"It occasionally uses an electric shock to recharge a fellow PIKACHU that is in a weakened state.","It occasionally uses an electric shock to recharge a fellow PIKACHU that is in a weakened state.","It occasionally uses an electric shock to recharge a fellow PIKACHU that is in a weakened state.","It occasionally uses an electric shock to recharge a fellow PIKACHU that is in a weakened state.","It occasionally uses an electric shock to recharge a fellow PIKACHU that is in a weakened state.","It occasionally uses an electric shock to recharge a fellow PIKACHU that is in a weakened state.","It occasionally uses an electric shock to recharge a fellow PIKACHU that is in a weakened state."
"It occasionally uses an electric shock to recharge a fellow PIKACHU that is in a weakened state.","It occasionally uses an electric shock to recharge a fellow PIKACHU that is in a weakened state.","It occasionally uses an electric shock to recharge a fellow PIKACHU that is in a weakened state.","It occasionally uses an electric shock to recharge a fellow PIKACHU that is in a weakened state.","It occasionally uses an electric shock to recharge a fellow PIKACHU that is in a weakened state.","It occasionally uses an electric shock to recharge a fellow PIKACHU that is in a weakened state.","It occasionally uses an electric shock to recharge a fellow PIKACHU that is in a weakened state."
